0,1,2,3,4,5,6
งวดวันที่,รางวัลที่ 1,เลขหน้า 3 ตัว,เลขหน้า 3 ตัว,เลขท้าย 3 ตัว,เลขท้าย 3 ตัว,เลขท้าย 2 ตัว
2024-06-16,xxxxxx,xxx,xxx,xxx,xxx,xx
2013-02-16,368257,657,708,109,386,09
2013-02-01,565566,452,695,641,782,66
2013-01-16,820981 ,555,196,374,334,08
2012-12-30,302358,589,864,126,832,00
2012-12-16,529524 ,734,745,778,008,72
2012-12-01,110443,434,553,489,303,43
2012-11-16,639500,576,560,804,627,15
2012-11-01,524694,217,188,285,338,63
2012-10-16,281343,089,152,396,868,28
2012-10-01,124025,940,554,291,873,58
2012-09-16,540143,123,242,752,770,79
2012-09-01,329997,148,598,639,736,07
2012-08-16,683877,032,612,730,775,28
2012-08-01,895590,820,599,796,745,50
2012-07-16,904050,897,224,159,042,11
2012-07-01,915900,715,656,530,611,60
2012-06-16,159373,238,479,547,790,51
2012-06-01,882727,606,576,895,399,38
2012-05-16,814418,504,309,902,101,31
2012-05-02,889501,589,597,426,468,29
2012-04-16,583470,088,216,722,754,62
2012-04-01,257562,074,332,581,616,69
2012-03-16,607064,333,350,573,606,08
2012-03-01,222518,295,135,711,199,79
2012-02-16,648684,906,214,111,420,18
2012-02-01,320605,426,498,598,749,32
2012-01-16,451445,328,150,941,639,81
2011-12-30,526402,168,026,541,597,65
2011-12-16,884178,784,235,295,651,21
2011-12-01,408147,922,253,857,739,02
2011-11-16,997777,425,551,406,993,57
2011-11-01,805540,065,221,380,771,54
2011-10-16,955756,057,329,507,991,83
2011-10-01,511052,104,189,499,957,15
2011-09-16,731198,384,645,812,589,28
2011-09-01,724533,847,021,533,821,85
2011-08-16,536960,814,345,074,005,62
2011-08-01,218756,221,583,660,703,12
2011-07-16,116556,052,227,534,609,12
2011-07-01,622953,390,160,780,463,51
2011-06-16,351276,486,167,162,582,88
2011-06-01,562370,346,556,656,801,46
2011-05-16,406417,044,071,700,889,05
2011-05-02,054136,133,421,524,945,85
2011-04-16,825988,263,213,397,593,44
2011-04-01,814931,723,584,040,036,01
2011-03-16,593331,209,463,737,945,96
2011-03-01,,,,,,
2011-02-16,481746,384,388,510,535,27
2011-02-01,610089,121,361,432,596,55
2011-01-16,281062,185,227,546,758,23
2010-12-30,884112,153,186,933,936,49
2010-12-16,334380,306,315,529,533,24
2010-12-01,181752 ,086,470,474,664,09
2010-11-16,813993 ,129,763,907,979,43
2010-11-01,191100,653,739,801,968,59
2010-10-16, 621377,310,385,518,872,42
2010-10-01,488372 ,003,091,246,996,02
2010-09-16,017422,103,316,431,075,66
2010-09-01,354656 ,096,570,656,784,11
2010-08-16,911097,448,578,689,986,64
2010-08-01,210008,182,191,727,769,10
2010-07-16,180387,024,219,309,572,34
2010-07-01,480239,450,893,918,961,68
2010-06-16,500104,200,628,681,816,73
2010-06-01,444874,298,374,673,996,81
2010-05-16,480012,008,151,293,770,12
2010-05-02,360371,040,382,517,618,06
2010-04-16,211743,154,285,744,811,96
2010-04-01,959517,040,174,447,663,22
2010-03-16,364222,229,619,756,996,97
2010-03-01,215227,457,627,374,470,97
2010-02-16,133707,026,137,362,985,03
2010-02-01,186312,403,577,694,936,14
2010-01-16,073577,413,459,646,781,67
2009-12-30,994304,337,419,598,993,87
2009-12-16,685141,142,524,694,775,05
2009-12-01,776980,188,252,412,937,59
2009-11-16,055986,072,299,536,952,58
2009-11-01,689140,366,465,642,923,85
2009-10-16,258487,122,135,174,226,00
2009-10-01,169387 ,255,714,435,249,06
2009-09-16,202912,166,200,353,539,48
2009-09-01,015865,435,446,447,924,32
2009-08-16,462933,292,577,658,843,96
2009-08-01,154986,239,374,421,688,92
2009-07-16,000816,005,177,356,836,94
2009-07-01,207542,107,233,385,799,66
